participant ID,stimulus,mental complexity,distraction,pressed key,correct key,correct key pressed,reaction time in ms,timestamp
1,▲,attentive,True,up,up,True,784,2017-05-24 22:16:43
1,▼,attentive,True,down,down,True,780,2017-05-24 22:16:45
1,▲,attentive,True,up,up,True,478,2017-05-24 22:16:46
1,▲,attentive,True,up,up,True,371,2017-05-24 22:16:47
1,▲,attentive,True,up,up,True,289,2017-05-24 22:16:47
1,▲,attentive,True,up,up,True,381,2017-05-24 22:16:48
1,▲,attentive,True,up,up,True,387,2017-05-24 22:16:49
1,▼,attentive,True,down,down,True,563,2017-05-24 22:16:50
1,▲,attentive,True,up,up,True,536,2017-05-24 22:16:51
1,▼,attentive,True,down,down,True,497,2017-05-24 22:16:52
1,▲,attentive,True,up,up,True,491,2017-05-24 22:16:53
1,bus,pre-attentive,False,down,down,True,610,2017-05-24 22:16:54
1,car,pre-attentive,False,down,down,True,402,2017-05-24 22:16:55
1,dragon,pre-attentive,False,up,up,True,591,2017-05-24 22:16:56
1,U.F.O.,pre-attentive,False,up,up,True,550,2017-05-24 22:16:57
1,fly,pre-attentive,False,up,up,True,569,2017-05-24 22:16:59
1,butterfly,pre-attentive,False,up,up,True,494,2017-05-24 22:17:00
1,table,pre-attentive,False,down,down,True,679,2017-05-24 22:17:01
1,U.F.O.,pre-attentive,False,up,up,True,508,2017-05-24 22:17:02
1,helicopter,pre-attentive,False,up,up,True,719,2017-05-24 22:17:03
1,you,pre-attentive,False,down,down,True,555,2017-05-24 22:17:04
1,cat,pre-attentive,False,down,down,True,1175,2017-05-24 22:17:06
1,▲,attentive,False,up,up,True,512,2017-05-24 22:17:07
1,▲,attentive,False,up,up,True,351,2017-05-24 22:17:08
1,▼,attentive,False,up,down,False,267,2017-05-24 22:17:08
1,▼,attentive,False,down,down,True,646,2017-05-24 22:17:09
1,▼,attentive,False,down,down,True,394,2017-05-24 22:17:10
1,▼,attentive,False,down,down,True,373,2017-05-24 22:17:11
1,▲,attentive,False,up,up,True,450,2017-05-24 22:17:12
1,▼,attentive,False,down,down,True,627,2017-05-24 22:17:13
1,▼,attentive,False,down,down,True,374,2017-05-24 22:17:14
1,▼,attentive,False,down,down,True,361,2017-05-24 22:17:15
1,▼,attentive,False,down,down,True,387,2017-05-24 22:17:16
1,butterfly,pre-attentive,True,up,up,True,655,2017-05-24 22:17:17
1,U.F.O.,pre-attentive,True,up,up,True,677,2017-05-24 22:17:18
1,Superman,pre-attentive,True,up,up,True,690,2017-05-24 22:17:19
1,bee,pre-attentive,True,down,up,False,507,2017-05-24 22:17:20
1,boat,pre-attentive,True,down,down,True,536,2017-05-24 22:17:22
1,airplane,pre-attentive,True,up,up,True,757,2017-05-24 22:17:23
1,guitar,pre-attentive,True,down,down,True,730,2017-05-24 22:17:24
1,dog,pre-attentive,True,down,down,True,664,2017-05-24 22:17:25
1,bird,pre-attentive,True,up,up,True,839,2017-05-24 22:17:27
1,fish,pre-attentive,True,down,down,True,678,2017-05-24 22:17:28
1,car,pre-attentive,True,down,down,True,686,2017-05-24 22:17:29
