participant ID,stimulus,mental complexity,distraction,pressed key,correct key,correct key pressed,reaction time in ms,timestamp
1,▼,attentive,True,down,down,True,579,2017-05-24 22:45:55
1,▲,attentive,True,up,up,True,498,2017-05-24 22:45:56
1,▼,attentive,True,down,down,True,523,2017-05-24 22:45:57
1,▼,attentive,True,down,down,True,458,2017-05-24 22:45:58
1,▼,attentive,True,down,down,True,607,2017-05-24 22:45:59
1,▼,attentive,True,down,down,True,436,2017-05-24 22:46:00
1,▲,attentive,True,down,up,False,313,2017-05-24 22:46:01
1,▲,attentive,True,up,up,True,483,2017-05-24 22:46:02
1,▼,attentive,True,down,down,True,515,2017-05-24 22:46:03
1,▲,attentive,True,up,up,True,457,2017-05-24 22:46:04
1,▲,attentive,True,up,up,True,453,2017-05-24 22:46:05
1,fish,pre-attentive,False,down,down,True,1028,2017-05-24 22:46:06
1,bee,pre-attentive,False,up,up,True,628,2017-05-24 22:46:07
1,car,pre-attentive,False,down,down,True,672,2017-05-24 22:46:08
1,cat,pre-attentive,False,down,down,True,474,2017-05-24 22:46:09
1,fish,pre-attentive,False,up,down,False,547,2017-05-24 22:46:10
1,Superman,pre-attentive,False,up,up,True,530,2017-05-24 22:46:12
1,bus,pre-attentive,False,down,down,True,524,2017-05-24 22:46:13
1,helicopter,pre-attentive,False,up,up,True,655,2017-05-24 22:46:14
1,bus,pre-attentive,False,down,down,True,495,2017-05-24 22:46:15
1,guitar,pre-attentive,False,down,down,True,634,2017-05-24 22:46:16
1,dog,pre-attentive,False,down,down,True,951,2017-05-24 22:46:17
1,▼,attentive,False,down,down,True,615,2017-05-24 22:46:18
1,▼,attentive,False,down,down,True,384,2017-05-24 22:46:19
1,▲,attentive,False,up,up,True,491,2017-05-24 22:46:20
1,▲,attentive,False,up,up,True,392,2017-05-24 22:46:21
1,▲,attentive,False,up,up,True,358,2017-05-24 22:46:22
1,▼,attentive,False,down,down,True,498,2017-05-24 22:46:23
1,▲,attentive,False,up,up,True,479,2017-05-24 22:46:24
1,▼,attentive,False,down,down,True,402,2017-05-24 22:46:25
1,▲,attentive,False,up,up,True,429,2017-05-24 22:46:26
1,▲,attentive,False,down,up,False,396,2017-05-24 22:46:27
1,▲,attentive,False,up,up,True,554,2017-05-24 22:46:28
1,bee,pre-attentive,True,down,up,False,773,2017-05-24 22:46:29
1,airplane,pre-attentive,True,up,up,True,714,2017-05-24 22:46:30
1,bird,pre-attentive,True,up,up,True,1070,2017-05-24 22:46:32
1,bee,pre-attentive,True,up,up,True,569,2017-05-24 22:46:33
1,car,pre-attentive,True,down,down,True,681,2017-05-24 22:46:34
1,helicopter,pre-attentive,True,up,up,True,649,2017-05-24 22:46:35
1,guitar,pre-attentive,True,down,down,True,713,2017-05-24 22:46:36
1,table,pre-attentive,True,down,down,True,720,2017-05-24 22:46:38
1,fly,pre-attentive,True,up,up,True,755,2017-05-24 22:46:39
1,guitar,pre-attentive,True,down,down,True,622,2017-05-24 22:46:40
1,bus,pre-attentive,True,down,down,True,815,2017-05-24 22:46:41
