timestamp (ISO),user_id,trial,target_distance,target_size,movement_time (ms),click_offset_x,click_offset_y
2017-06-12T00:56:56,1,0,170,100,313,10.650011683446792,-6.0488767614590415
2017-06-12T00:56:57,1,1,35,35,558,5.348559258479895,-1.012509644841714
2017-06-12T00:56:58,1,2,60,170,501,5.47847075489554,1.7724190008012215
2017-06-12T00:56:58,1,3,35,60,242,-23.729822974223993,-0.7993337335573756
2017-06-12T00:56:59,1,4,35,170,275,5.544767962423293,33.91426313492252
2017-06-12T00:56:59,1,5,35,170,278,-35.69915925001126,-15.653839049511532
2017-06-12T00:57:00,1,6,100,35,419,3.211537658677571,1.6705203333218606
2017-06-12T00:57:00,1,7,170,170,351,25.423698910490202,-65.22530685483522
2017-06-12T00:57:01,1,8,60,60,554,28.323459060059747,3.138274879364104
2017-06-12T00:57:02,1,9,100,60,580,12.274725673059152,-20.682733397515108
2017-06-12T00:57:03,1,10,60,35,1343,4.717704492453777,1.8190403911530098
2017-06-12T00:57:04,1,11,60,170,709,-8.64623201170798,-0.4620029223808899
2017-06-12T00:57:05,1,12,60,100,607,31.829199600075356,-0.07918911243996263
2017-06-12T00:57:05,1,13,35,100,336,37.47732253860238,-0.9936438739815685
2017-06-12T00:57:06,1,14,170,60,331,4.6854579644218575,-6.079672830757318
2017-06-12T00:57:07,1,15,100,60,728,4.1324664632416415,1.7365790078242185
2017-06-12T00:57:08,1,16,100,60,757,49.643740646659694,-28.05263219028768
2017-06-12T00:57:08,1,17,170,60,717,20.380141826432464,13.001703106336834
2017-06-12T00:57:09,1,18,170,35,445,1.0212843501460043,4.299134749812424
2017-06-12T00:57:10,1,19,100,170,896,-14.842246225826159,-70.06955120153441
2017-06-12T00:57:13,1,20,35,60,2244,-54.48820335845653,-21.266418666897664
2017-06-12T00:57:13,1,21,60,100,560,-13.094693641362426,-42.4387193738861
2017-06-12T00:57:14,1,22,100,35,379,-13.764491035693595,-1.0296233124841478
2017-06-12T00:57:15,1,23,35,60,792,11.64554048458939,2.2436073408684365
2017-06-12T00:57:15,1,24,35,170,414,-2.764473501110274,-1.109641283970575
2017-06-12T00:57:16,1,25,35,35,723,5.317825062962157,-9.728244604017505
2017-06-12T00:57:17,1,26,35,60,560,-3.9108962200814403,-33.008810011192
2017-06-12T00:57:18,1,27,35,60,359,1.0389960082653147,-2.0970381851380466
2017-06-12T00:57:19,1,28,35,35,748,-10.52759556318972,-5.812069957654671
2017-06-12T00:57:20,1,29,100,170,663,-9.738310789850516,11.589322342000258
2017-06-12T00:57:21,1,30,60,170,1577,-6.561945003101414,11.357866527133808
2017-06-12T00:57:22,1,31,170,35,616,1.6616061892220273,28.331644747776124
2017-06-12T00:57:23,1,32,170,35,968,-1.7390542316762776,-0.9519236302438685
2017-06-12T00:57:24,1,33,60,100,901,-5.360852509467804,1.2122780923356231
2017-06-12T00:57:25,1,34,170,170,380,-18.60098398267803,-16.797493634709213
2017-06-12T00:57:25,1,35,170,170,382,55.34762609088693,-20.043404415152878
2017-06-12T00:57:26,1,36,100,100,389,-6.843788964006762,6.817086219551129
2017-06-12T00:57:27,1,37,100,35,620,28.227408092682765,1.5861647596219655
2017-06-12T00:57:28,1,38,170,60,500,-3.0769666818001156,-34.88054549934583
2017-06-12T00:57:28,1,39,170,100,409,-14.317643561924314,5.968057769292386
