timestamp (ISO),user_id,trial,target_distance,target_size,movement_time (ms),click_offset_x,click_offset_y
2017-06-12T00:24:11,1,0,170,100,745,-12.448444463474857,18.26493795626982
2017-06-12T00:24:12,1,1,170,60,376,10.94175038884282,34.57234571943394
2017-06-12T00:24:13,1,2,60,170,530,-29.858935372028668,5.498137797310221
2017-06-12T00:24:14,1,3,60,170,812,8.288090325757906,6.8022017528544865
2017-06-12T00:24:14,1,4,170,170,554,-9.612150644621806,-15.10064955674477
2017-06-12T00:24:15,1,5,100,60,442,-6.199866666914772,-20.55650004233638
2017-06-12T00:24:16,1,6,100,100,635,33.11060279432854,-0.3514900122287372
2017-06-12T00:24:16,1,7,170,100,459,50.2001243032596,6.075396656183642
2017-06-12T00:24:17,1,8,100,170,337,-25.890009668457083,-36.903412051153225
2017-06-12T00:24:19,1,9,60,170,1781,-21.750915371218696,-51.69758515708236
2017-06-12T00:24:20,1,10,60,60,414,-37.720121312192646,-26.902633688360936
2017-06-12T00:24:20,1,11,60,60,507,-20.93663135365796,-2.5832907167305734
2017-06-12T00:24:21,1,12,60,35,531,-2.896113415704235,-11.690577117582336
2017-06-12T00:24:22,1,13,170,35,819,-7.135202482209934,-15.158533120060127
2017-06-12T00:24:23,1,14,170,60,675,-21.6870424065728,-1.0809928727234137
2017-06-12T00:24:23,1,15,100,35,721,12.765506075695384,11.232476221991874
2017-06-12T00:24:25,1,16,60,35,1137,-31.32589934548639,-9.699003913763875
2017-06-12T00:24:26,1,17,35,35,534,5.4914681804339125,-3.129122411725106
2017-06-12T00:24:29,1,18,35,35,3481,4.632363235118191,4.561237076540806
2017-06-12T00:24:30,1,19,35,170,644,-22.319192595363234,-46.146475110205756
2017-06-12T00:24:31,1,20,60,170,977,17.601766243989175,7.132148954612376
2017-06-12T00:24:32,1,21,100,100,538,-13.234036557944009,-23.82461822272768
2017-06-12T00:24:32,1,22,60,60,285,-50.42815978001545,17.070051558470027
2017-06-12T00:24:33,1,23,100,100,475,-11.374884054147856,16.266153170183486
2017-06-12T00:24:34,1,24,100,170,777,11.345516340557367,-14.922337890241664
2017-06-12T00:24:35,1,25,60,35,757,20.478415547501072,14.174284856380893
2017-06-12T00:24:36,1,26,100,100,480,-23.46186735695403,-1.3661143738470969
2017-06-12T00:24:38,1,27,60,100,1875,-7.455849453274482,-2.6900872484520733
2017-06-12T00:24:38,1,28,100,60,718,30.301739292998946,0.6437780130916053
2017-06-12T00:24:39,1,29,170,100,557,-4.177865049705133,-8.482101392297722
2017-06-12T00:24:40,1,30,100,100,632,-60.496768655456634,-15.846143958187042
2017-06-12T00:24:41,1,31,170,170,234,-34.851270894126884,-31.78520219146867
2017-06-12T00:24:41,1,32,35,100,387,-8.24609122066704,-4.998422537529734
2017-06-12T00:24:42,1,33,170,60,601,3.8903213313807328,-15.5449397386177
2017-06-12T00:24:43,1,34,170,35,518,-3.389940601434091,-5.80370699982771
2017-06-12T00:24:44,1,35,170,35,585,27.76425848609267,-18.501398214007395
