timestamp (ISO),user_id,trial,target_distance,target_size,movement_time (ms),click_offset_x,click_offset_y,trys_per_trial,cursor_type
2017-06-13T15:55:49,1,0,300,35,1508,4.397511137699183,-6.198059898404665,2,special
2017-06-13T15:55:50,1,1,200,100,647,-41.53029586530623,39.53605369068015,1,special
2017-06-13T15:55:51,1,2,400,35,706,14.343245961408684,-0.3065836756846636,1,special
2017-06-13T15:55:52,1,3,300,170,462,-11.312326718386373,-4.977030012831676,1,special
2017-06-13T15:55:53,1,4,200,170,420,16.24472374010827,58.82636886215778,1,special
2017-06-13T15:55:54,1,5,400,100,1257,6.118265566823311,38.66900622852256,1,special
2017-06-13T15:55:55,1,6,300,60,773,-21.02552287026799,-16.127111086428613,1,special
2017-06-13T15:55:56,1,7,300,100,558,-33.217901734936504,39.872888913571416,1,special
2017-06-13T15:55:57,1,8,200,35,910,-6.65136187535893,-5.119496104417749,1,special
2017-06-13T15:55:59,1,9,200,35,2021,5.748310137140834,8.151244219416355,1,special
2017-06-13T15:56:01,1,10,200,170,1588,6.778771105862575,40.64172550687306,1,special
2017-06-13T15:56:02,1,11,170,35,696,-2.8866085629804275,-1.6060714121210253,1,special
2017-06-13T15:56:04,1,12,300,60,1051,20.96193540128752,-2.825409958903151,1,special
2017-06-13T15:56:05,1,13,170,100,542,7.447760488202334,-39.2497018020797,1,special
2017-06-13T15:56:06,1,14,200,100,682,11.708711680809415,-1.7753608575323483,1,special
2017-06-13T15:56:07,1,15,300,170,571,8.302601195058287,-46.37486887628188,1,special
2017-06-13T15:56:08,1,16,300,35,1130,6.860275291395908,16.530677823639024,1,special
2017-06-13T15:56:10,1,17,400,35,1256,-10.671497530434465,1.3862918296498492,1,special
2017-06-13T15:56:11,1,18,200,35,1002,-8.470192692760975,-11.815608222440801,1,special
2017-06-13T15:56:12,1,19,170,35,618,8.443532387594246,22.01621543096678,1,special
2017-06-13T15:56:14,1,20,300,100,1389,4.9553773532950345,0.25891404393024686,1,special
2017-06-13T15:56:15,1,21,200,100,618,-21.646773368049367,-8.60879089093811,1,special
2017-06-13T15:56:16,1,22,300,100,611,2.2966742751689253,-12.347972798595578,1,special
2017-06-13T15:56:17,1,23,200,100,431,-40.49824496794338,-29.347972798595606,1,special
2017-06-13T15:56:17,1,24,200,170,531,20.988944980091787,-17.39667804977057,1,special
2017-06-13T15:56:18,1,25,400,60,719,-35.578884421027624,-6.743857867890682,1,special
2017-06-13T15:56:19,1,26,200,60,737,-10.015655334385087,19.177460815291738,1,special
2017-06-13T15:56:20,1,27,300,170,526,-32.41888141640169,-24.12409658701074,1,special
2017-06-13T15:56:21,1,28,200,100,894,11.766283841411962,37.11209439248512,1,special
2017-06-13T15:56:22,1,29,170,100,571,11.90970820677569,-26.635651141119297,1,special
2017-06-13T15:56:24,1,30,300,100,1726,-12.446860403706296,-10.277112160823265,1,special
2017-06-13T15:56:25,1,31,300,60,572,-6.707678496048857,-26.33366451760503,1,special
2017-06-13T15:56:26,1,32,300,170,605,61.93053539370112,19.154991445671726,1,special
2017-06-13T15:56:26,1,33,170,170,489,-60.94608579240173,-10.282537768340887,1,special
2017-06-13T15:56:27,1,34,400,100,683,-12.46920060706168,1.764766927938922,1,special
2017-06-13T15:56:29,1,35,300,35,1451,9.928310530637532,-17.037173173656413,1,special
2017-06-13T15:56:29,1,36,200,100,508,-9.967974349499173,-32.92354228222507,1,special
2017-06-13T15:56:31,1,37,300,35,848,-0.8603104604941905,5.290979195565114,1,special
2017-06-13T15:56:32,1,38,170,170,728,-50.11615798962279,16.79897337524295,1,special
2017-06-13T15:56:32,1,39,400,100,825,-4.465284610557205,8.122571525860849,1,special
