timestamp (ISO),user_id,trial,target_distance,target_size,movement_time (ms),click_offset_x,click_offset_y,trys_per_trial,cursor_type,circle_color
2017-06-13T17:38:16,1,0,200,60,761,12.894312557178168,8.589518571785362,1,default,red
2017-06-13T17:38:17,1,1,400,60,804,-9.247302860033471,-24.68232500827969,1,default,red
2017-06-13T17:38:17,1,2,200,100,592,18.468782439406823,41.99126490078038,1,default,red
2017-06-13T17:38:18,1,3,200,60,929,-15.696597368580115,-8.062348847533713,1,default,red
2017-06-13T17:38:19,1,4,200,170,478,25.435442563689662,-26.99402293933315,1,default,red
2017-06-13T17:38:20,1,5,300,100,733,-7.210270967066549,25.783724947387327,1,default,red
2017-06-13T17:38:21,1,6,400,170,722,-60.46820115802427,-38.86851759615598,2,default,red
2017-06-13T17:38:22,1,7,400,60,719,10.009678078673971,15.269185304780763,1,default,red
2017-06-13T17:38:22,1,8,300,170,686,21.433109398773638,40.35790318757972,1,default,red
2017-06-13T17:38:23,1,9,200,60,498,6.8035892520125,-2.2244349759721445,1,default,red
2017-06-13T17:38:25,1,10,300,170,1457,-22.772979427887833,-18.313152858771105,1,default,green
2017-06-13T17:38:26,1,11,300,60,708,8.8035892520125,1.7755650240278555,1,default,green
2017-06-13T17:38:26,1,12,300,170,362,0.5492025387100057,-22.29736588128597,1,default,green
2017-06-13T17:38:27,1,13,170,100,485,31.851930337952126,2.557404795828006,1,default,green
2017-06-13T17:38:28,1,14,200,60,467,14.773249021134575,-15.00582429081453,1,default,green
2017-06-13T17:38:28,1,15,300,170,513,21.46674684259324,-15.936163802883812,1,default,green
2017-06-13T17:38:29,1,16,200,170,675,46.023797301087825,48.8672350721057,1,default,green
2017-06-13T17:38:30,1,17,200,60,444,26.54945635654053,-2.393716120501381,1,default,green
2017-06-13T17:38:31,1,18,300,60,606,10.307327397764539,15.317555646011101,1,default,green
2017-06-13T17:38:31,1,19,170,35,512,13.890009385689154,-4.202634557367048,1,default,green
2017-06-13T17:38:33,1,20,400,100,1563,-18.367920805268568,6.1451228990896425,1,default,blue
2017-06-13T17:38:34,1,21,200,35,516,3.570603351913121,-1.2589057660441085,1,default,blue
2017-06-13T17:38:35,1,22,300,35,956,-0.8211071525950047,-12.657735382416888,1,default,blue
2017-06-13T17:38:35,1,23,170,60,381,1.7089277757912669,-5.9583640202881725,1,default,blue
2017-06-13T17:38:36,1,24,170,100,435,-11.805247137293918,-2.38265586346472,1,default,blue
2017-06-13T17:38:37,1,25,200,170,569,-28.00184826230452,-14.939706321959349,1,default,blue
2017-06-13T17:38:38,1,26,200,35,733,-1.9920591310775535,-5.065693364912306,1,default,blue
2017-06-13T17:38:38,1,27,200,35,577,5.904225749059037,-4.179324256343648,1,default,blue
2017-06-13T17:38:39,1,28,400,170,878,-77.63725489860917,12.620019768655766,1,default,blue
2017-06-13T17:38:40,1,29,200,35,496,5.089847110849405,-4.742984861753882,1,default,blue
2017-06-13T17:38:42,1,30,400,35,1492,5.089847110849405,-2.7429848617538823,1,default,gray
2017-06-13T17:38:43,1,31,200,35,844,-5.815845542681359,-2.647363935408549,1,default,gray
2017-06-13T17:38:44,1,32,400,100,640,30.328540451307845,-3.1791367572388936,1,default,gray
2017-06-13T17:38:44,1,33,200,60,613,3.3666164020403926,-11.103078185118079,1,default,gray
2017-06-13T17:38:45,1,34,400,100,554,14.240158228755263,-15.945715551482891,1,default,gray
2017-06-13T17:38:46,1,35,200,100,459,3.5240729293149116,-22.27212564242285,1,default,gray
2017-06-13T17:38:47,1,36,200,100,698,-15.537402913503456,-6.868096977289099,1,default,gray
2017-06-13T17:38:48,1,37,170,35,575,-0.3044238217810289,1.234790461410455,1,default,gray
2017-06-13T17:38:48,1,38,300,170,514,-28.162833249304697,-4.911932362887001,1,default,gray
2017-06-13T17:38:49,1,39,400,100,567,-7.314950393546383,10.01191573564779,1,default,gray
2017-06-13T17:40:57,1,0,300,35,677,-23.158531164232755,-6.115722142321943,2,special,red
2017-06-13T17:40:58,1,1,200,60,845,23.895082584081308,-8.28110195030888,1,special,red
2017-06-13T17:40:59,1,2,300,35,968,10.969210533241721,-4.791486813898956,1,special,red
2017-06-13T17:41:00,1,3,200,170,405,-1.4619380162898779,31.447452804450165,1,special,red
2017-06-13T17:41:01,1,4,170,60,490,4.664784235653656,-12.502820662469247,1,special,red
2017-06-13T17:41:01,1,5,400,35,661,2.2421777175922557,9.8903815875518,1,special,red
2017-06-13T17:41:02,1,6,200,35,522,-4.561221157397227,-8.898315153417514,1,special,red
2017-06-13T17:41:03,1,7,200,170,529,7.951588894567635,33.05297959540752,1,special,red
2017-06-13T17:41:04,1,8,300,35,713,33.71543438696426,2.4921765738632757,1,special,red
2017-06-13T17:41:04,1,9,400,35,728,1.1923195723043136,4.539481270143028,1,special,red
2017-06-13T17:41:06,1,10,300,35,1121,-15.478126764842699,-10.116091409651972,1,special,green
2017-06-13T17:41:07,1,11,300,60,660,-28.675276686706724,-17.81413415314165,1,special,green
2017-06-13T17:41:07,1,12,170,60,494,-12.45095804335216,8.185865846858349,1,special,green
2017-06-13T17:41:08,1,13,170,170,383,-50.348070604652605,-36.58115506141917,1,special,green
2017-06-13T17:41:09,1,14,400,35,625,9.525471222062379,-0.4237924277839795,1,special,green
2017-06-13T17:41:09,1,15,200,60,421,4.340305964248728,-2.1876014482881203,1,special,green
2017-06-13T17:41:10,1,16,400,170,460,-24.26649178573024,-32.07350053129886,1,special,green
2017-06-13T17:41:10,1,17,400,170,400,-59.74458940051613,-38.02218242039356,1,special,green
2017-06-13T17:41:11,1,18,170,100,243,21.25464826691234,3.185208048748052,1,special,green
2017-06-13T17:41:12,1,19,400,35,776,8.884317751285039,19.71282608975639,1,special,green
