input technique,input type,subject id,timestamp,time needed in ms,input
default,key pressed,1,2017-06-21 14:34:58.206166,0.137041,"e"
default,key pressed,1,2017-06-21 14:34:58.701642,0.495446," "
default,key pressed,1,2017-06-21 14:34:59.294109,0.592436,"q"
default,word typed,1,2017-06-21 14:34:59.294289,4.502222,"the q"
default,key pressed,1,2017-06-21 14:34:59.416578,0.122426,"u"
default,key pressed,1,2017-06-21 14:34:59.642288,0.225686,"i"
default,key pressed,1,2017-06-21 14:34:59.716689,0.074372,"c"
default,key pressed,1,2017-06-21 14:34:59.860815,0.144097,"k"
default,key pressed,1,2017-06-21 14:35:00.004655,0.143811," "
default,word typed,1,2017-06-21 14:35:00.004745,0.710451,"uick "
default,key pressed,1,2017-06-21 14:35:00.419480,0.413143,"b"
default,key pressed,1,2017-06-21 14:35:00.544625,0.125121,"r"
default,key pressed,1,2017-06-21 14:35:00.712936,0.168281,"o"
default,key pressed,1,2017-06-21 14:35:00.802615,0.089608,"w"
default,key pressed,1,2017-06-21 14:35:01.051285,0.248658,"n"
default,word typed,1,2017-06-21 14:35:01.051401,1.046643,"brown"
default,key pressed,1,2017-06-21 14:35:01.316122,0.264810," "
default,key pressed,1,2017-06-21 14:35:02.057630,0.738310,"f"
default,key pressed,1,2017-06-21 14:35:02.073846,0.018175,"o"
default,key pressed,1,2017-06-21 14:35:02.200922,0.124593,"x"
default,key pressed,1,2017-06-21 14:35:02.300060,0.099129," "
default,word typed,1,2017-06-21 14:35:02.300156,1.248746," fox "
default,key pressed,1,2017-06-21 14:35:02.853005,0.552915,"j"
default,key pressed,1,2017-06-21 14:35:03.038445,0.185413,"u"
default,key pressed,1,2017-06-21 14:35:03.226433,0.187959,"m"
default,key pressed,1,2017-06-21 14:35:03.434186,0.207722,"p"
default,key pressed,1,2017-06-21 14:35:03.551727,0.117516,"s"
default,word typed,1,2017-06-21 14:35:03.551804,1.251643,"jumps"
default,key pressed,1,2017-06-21 14:35:03.710078,0.158322," "
default,key pressed,1,2017-06-21 14:35:03.759469,0.049358,"o"
default,key pressed,1,2017-06-21 14:35:04.021395,0.261893,"v"
default,key pressed,1,2017-06-21 14:35:04.345728,0.324252,"r"
default,key pressed,1,2017-06-21 14:35:04.968095,0.622350," "
default,word typed,1,2017-06-21 14:35:04.968172,1.416360," ovr "
default,key pressed,1,2017-06-21 14:35:05.239013,0.270883,"h"
default,key pressed,1,2017-06-21 14:35:05.670947,0.431910," "
default,key pressed,1,2017-06-21 14:35:05.885601,0.214623,"t"
default,key pressed,1,2017-06-21 14:35:05.962120,0.076488,"h"
default,key pressed,1,2017-06-21 14:35:06.106048,0.143899,"e"
default,word typed,1,2017-06-21 14:35:06.106130,1.137948,"r the"
