input technique;input type;timestamp;time needed in ms;input
default;key pressed;2017-06-20 20:10:05.753824;0.113616;"a"
default;word typed;2017-06-20 20:10:05.753900;0.833640;"ht ma"
default;key pressed;2017-06-20 20:10:05.886834;0.132982;"n"
default;key pressed;2017-06-20 20:10:06.098508;0.211642;"y"
default;key pressed;2017-06-20 20:10:06.217309;0.118773;" "
default;key pressed;2017-06-20 20:10:06.627100;0.409761;"v"
default;key pressed;2017-06-20 20:10:06.813612;0.186479;"e"
default;word typed;2017-06-20 20:10:06.813691;1.059782;"ny ve"
default;key pressed;2017-06-20 20:10:06.894980;0.081345;"r"
default;key pressed;2017-06-20 20:10:07.230401;0.335392;"y"
default;key pressed;2017-06-20 20:10:07.394366;0.163892;" "
default;key pressed;2017-06-20 20:10:07.769190;0.374799;"e"
default;key pressed;2017-06-20 20:10:08.476112;0.706895;"x"
default;word typed;2017-06-20 20:10:08.476190;1.662491;"ry ex"
default;key pressed;2017-06-20 20:10:08.809573;0.333423;"p"
default;key pressed;2017-06-20 20:10:09.196279;0.386683;"x"
default;key pressed;2017-06-20 20:10:09.411788;0.215479;"q"
default;key pressed;2017-06-20 20:10:09.513558;0.101742;"u"
default;key pressed;2017-06-20 20:10:09.816695;0.303065;"i"
default;word typed;2017-06-20 20:10:09.816776;1.340579;"exqui"
default;key pressed;2017-06-20 20:10:10.103698;0.287013;"s"
default;key pressed;2017-06-20 20:10:10.221475;0.117747;"i"
default;key pressed;2017-06-20 20:10:10.431875;0.210375;"t"
default;key pressed;2017-06-20 20:10:10.573666;0.141763;"e"
default;key pressed;2017-06-20 20:10:10.949675;0.375981;" "
default;word typed;2017-06-20 20:10:10.949760;1.132978;"site "
default;key pressed;2017-06-20 20:10:11.430092;0.480388;"o"
default;key pressed;2017-06-20 20:10:11.654679;0.224558;"p"
default;key pressed;2017-06-20 20:10:12.039419;0.384680;"a"
default;key pressed;2017-06-20 20:10:12.244813;0.205370;"l"
default;key pressed;2017-06-20 20:10:12.376570;0.131729;" "
default;word typed;2017-06-20 20:10:12.376645;1.426878;"opal "
default;key pressed;2017-06-20 20:10:12.542985;0.166385;"j"
default;key pressed;2017-06-20 20:10:12.664757;0.121741;"e"
default;key pressed;2017-06-20 20:10:12.908548;0.243761;"w"
default;key pressed;2017-06-20 20:10:13.053513;0.144937;"e"
default;key pressed;2017-06-20 20:10:13.219594;0.166057;"l"
default;word typed;2017-06-20 20:10:13.219664;0.843013;"jewel"
default;key pressed;2017-06-20 20:10:13.374698;0.155076;"s"
default;sentence typed;2017-06-20 20:10:13.708945;16.222364;"crazy federeick bought many very exquisite opal jewels"
default;test finished;2017-06-20 20:10:13.709093;84.698898;

