input technique,input type,subject id,timestamp,time needed in ms,input
default,key pressed,1,2017-06-21 11:31:53.697227,0.026573,"y"
default,word typed,1,2017-06-21 11:31:53.698329,1.078790,"laz y"
default,key pressed,1,2017-06-21 11:31:55.054312,1.357043,"d"
default,key pressed,1,2017-06-21 11:31:55.166867,0.112500,"o"
default,key pressed,1,2017-06-21 11:31:55.625457,0.458524,"g"
default,sentence typed,1,2017-06-21 11:31:56.111814,12.858556,"the quick bworn fox jumps over the laz ydog"
default,key pressed,1,2017-06-21 11:31:56.993797,1.368275,"t"
default,key pressed,1,2017-06-21 11:31:57.121501,0.127641,"h"
default,key pressed,1,2017-06-21 11:31:57.163606,0.041888,"e"
default,key pressed,1,2017-06-21 11:31:57.271253,0.107589," "
default,key pressed,1,2017-06-21 11:31:57.454863,0.183550,"f"
default,word typed,1,2017-06-21 11:31:57.455042,3.756756,"the f"
default,key pressed,1,2017-06-21 11:31:57.573355,0.118429,"i"
default,key pressed,1,2017-06-21 11:31:57.744797,0.171312,"v"
default,key pressed,1,2017-06-21 11:31:57.888985,0.144189,"e"
default,key pressed,1,2017-06-21 11:31:58.093289,0.204237," "
default,key pressed,1,2017-06-21 11:31:58.642182,0.548840,"b"
default,word typed,1,2017-06-21 11:31:58.642357,1.187297,"ive b"
default,key pressed,1,2017-06-21 11:31:58.815627,0.173370,"o"
default,key pressed,1,2017-06-21 11:31:59.097737,0.281991,"x"
default,key pressed,1,2017-06-21 11:31:59.285725,0.187933,"i"
default,key pressed,1,2017-06-21 11:31:59.428999,0.143207,"n"
default,key pressed,1,2017-06-21 11:31:59.690742,0.261680,"g"
default,word typed,1,2017-06-21 11:31:59.691268,1.048876,"oxing"
default,key pressed,1,2017-06-21 11:31:59.827547,0.136742," "
default,key pressed,1,2017-06-21 11:32:00.187233,0.359623,"z"
default,key pressed,1,2017-06-21 11:32:00.396856,0.209428,"w"
default,key pressed,1,2017-06-21 11:32:00.549000,0.150764,"i"
default,key pressed,1,2017-06-21 11:32:03.488928,2.941184,"a"
default,word typed,1,2017-06-21 11:32:03.489288,3.797997," zwia"
default,key pressed,1,2017-06-21 11:32:03.698774,0.209717,"r"
default,key pressed,1,2017-06-21 11:32:04.552500,0.853675,"d"
default,key pressed,1,2017-06-21 11:32:04.705113,0.152438,"s"
default,key pressed,1,2017-06-21 11:32:04.848833,0.143617," "
default,key pressed,1,2017-06-21 11:32:05.039280,0.190436,"j"
default,word typed,1,2017-06-21 11:32:05.039463,1.550163,"rds j"
default,key pressed,1,2017-06-21 11:32:05.256863,0.217518,"u"
default,key pressed,1,2017-06-21 11:32:05.643273,0.386349,"m"
default,key pressed,1,2017-06-21 11:32:05.943741,0.300281,"p"
default,key pressed,1,2017-06-21 11:32:06.253912,0.310164," "
default,key pressed,1,2017-06-21 11:32:06.791528,0.537569,"q"
default,word typed,1,2017-06-21 11:32:06.791867,1.752372,"ump q"
default,key pressed,1,2017-06-21 11:32:06.953658,0.162064,"u"
default,key pressed,1,2017-06-21 11:32:07.076654,0.122933,"i"
default,key pressed,1,2017-06-21 11:32:07.249799,0.173085,"c"
default,key pressed,1,2017-06-21 11:32:07.374454,0.124590,"k"
default,key pressed,1,2017-06-21 11:32:07.493673,0.119155,"l"
