input technique,input type,subject id,timestamp,time needed in ms,input
default,key pressed,2,2017-06-21 14:51:01.592743,0.000014,"t"
default,key pressed,2,2017-06-21 14:51:01.743291,0.150522,"h"
default,key pressed,2,2017-06-21 14:51:01.856770,0.113453,"e"
default,key pressed,2,2017-06-21 14:51:01.975899,0.119103," "
default,key pressed,2,2017-06-21 14:51:02.175328,0.199398,"q"
default,word typed,2,2017-06-21 14:51:02.175403,0.582675,"the q"
default,key pressed,2,2017-06-21 14:51:02.378501,0.203142,"u"
default,key pressed,2,2017-06-21 14:51:02.599065,0.220543,"i"
default,key pressed,2,2017-06-21 14:51:02.856073,0.256978,"c"
default,key pressed,2,2017-06-21 14:51:03.055382,0.199287,"k"
default,key pressed,2,2017-06-21 14:51:03.361631,0.306220," "
default,word typed,2,2017-06-21 14:51:03.361698,1.186291,"uick "
default,key pressed,2,2017-06-21 14:51:03.540873,0.179212,"b"
default,key pressed,2,2017-06-21 14:51:03.666481,0.125585,"r"
default,key pressed,2,2017-06-21 14:51:03.842948,0.176438,"o"
default,key pressed,2,2017-06-21 14:51:03.994956,0.151982,"w"
default,key pressed,2,2017-06-21 14:51:04.253844,0.258861,"n"
default,word typed,2,2017-06-21 14:51:04.253911,0.892208,"brown"
default,key pressed,2,2017-06-21 14:51:04.510599,0.256730," "
default,key pressed,2,2017-06-21 14:51:04.799583,0.288955,"f"
default,key pressed,2,2017-06-21 14:51:05.020312,0.220699,"o"
default,key pressed,2,2017-06-21 14:51:05.300167,0.279783,"x"
default,key pressed,2,2017-06-21 14:51:05.472465,0.172309," "
default,word typed,2,2017-06-21 14:51:05.472542,1.218614," fox "
default,key pressed,2,2017-06-21 14:51:05.761393,0.288902,"j"
default,key pressed,2,2017-06-21 14:51:06.012224,0.250806,"u"
default,key pressed,2,2017-06-21 14:51:06.304070,0.291817,"m"
default,key pressed,2,2017-06-21 14:51:06.576160,0.272057,"p"
default,key pressed,2,2017-06-21 14:51:06.809786,0.233599,"s"
default,word typed,2,2017-06-21 14:51:06.809853,1.337316,"jumps"
default,key pressed,2,2017-06-21 14:51:06.990029,0.180218," "
default,key pressed,2,2017-06-21 14:51:07.241808,0.251753,"o"
default,key pressed,2,2017-06-21 14:51:07.412927,0.171088,"v"
default,key pressed,2,2017-06-21 14:51:07.632647,0.219686,"e"
default,key pressed,2,2017-06-21 14:51:07.821917,0.189252,"r"
default,word typed,2,2017-06-21 14:51:07.821980,1.012121," over"
default,key pressed,2,2017-06-21 14:51:08.017215,0.195272," "
default,key pressed,2,2017-06-21 14:51:08.244828,0.227584,"t"
default,key pressed,2,2017-06-21 14:51:08.431966,0.187110,"h"
default,key pressed,2,2017-06-21 14:51:08.601177,0.169187,"e"
default,key pressed,2,2017-06-21 14:51:08.749380,0.148178," "
default,word typed,2,2017-06-21 14:51:08.749442,0.927457," the "
default,key pressed,2,2017-06-21 14:51:08.898145,0.148730,"l"
default,key pressed,2,2017-06-21 14:51:09.087663,0.189469,"a"
default,key pressed,2,2017-06-21 14:51:09.298149,0.210464,"z"
default,key pressed,2,2017-06-21 14:51:09.520849,0.222673,"y"
default,key pressed,2,2017-06-21 14:51:09.697034,0.176161," "
default,word typed,2,2017-06-21 14:51:09.697099,0.947651,"lazy "
default,key pressed,2,2017-06-21 14:51:10.001003,0.303945,"d"
default,key pressed,2,2017-06-21 14:51:10.160140,0.159110,"o"
default,key pressed,2,2017-06-21 14:51:10.457318,0.297111,"g"
default,sentence typed,2,2017-06-21 14:51:10.715057,9.122292,"the quick brown fox jumps over the lazy dog"
default,key pressed,2,2017-06-21 14:51:11.457423,1.000078,"t"
default,key pressed,2,2017-06-21 14:51:11.596244,0.138791,"h"
default,key pressed,2,2017-06-21 14:51:11.825956,0.229687,"e"
default,key pressed,2,2017-06-21 14:51:11.984090,0.158107," "
default,key pressed,2,2017-06-21 14:51:12.369756,0.385639,"f"
default,word typed,2,2017-06-21 14:51:12.369822,2.672718,"the f"
default,key pressed,2,2017-06-21 14:51:12.601495,0.231710,"i"
default,key pressed,2,2017-06-21 14:51:12.821950,0.220430,"v"
default,key pressed,2,2017-06-21 14:51:13.021123,0.199147,"e"
default,key pressed,2,2017-06-21 14:51:13.225559,0.204410," "
default,key pressed,2,2017-06-21 14:51:13.475580,0.249996,"b"
