input technique,input type,subject id,timestamp,time needed in ms,input
default,key pressed,4,2017-06-21 21:06:53.776529,0.176039,"u"
default,key pressed,4,2017-06-21 21:06:54.009238,0.232655,"a"
default,key pressed,4,2017-06-21 21:06:54.208455,0.199213,"r"
default,word typed,4,2017-06-21 21:06:54.208615,1.152098," quar"
default,key pressed,4,2017-06-21 21:06:54.760906,0.552412,"t"
default,key pressed,4,2017-06-21 21:06:54.992649,0.231716,"z"
default,sentence typed,4,2017-06-21 21:06:55.953043,10.656375,"jackdaws love my big sphinx of quartz"
default,key pressed,4,2017-06-21 21:06:56.801029,1.808326,"t"
default,key pressed,4,2017-06-21 21:06:56.896690,0.095635,"h"
default,key pressed,4,2017-06-21 21:06:57.008590,0.111874,"e"
default,key pressed,4,2017-06-21 21:06:57.168621,0.160003," "
default,key pressed,4,2017-06-21 21:06:57.568562,0.399914,"f"
default,word typed,4,2017-06-21 21:06:57.568626,3.360015,"the f"
default,key pressed,4,2017-06-21 21:06:57.776693,0.208085,"i"
default,key pressed,4,2017-06-21 21:06:57.888846,0.112117,"v"
default,key pressed,4,2017-06-21 21:06:58.113574,0.224656,"e"
default,key pressed,4,2017-06-21 21:06:58.265442,0.151880," "
default,key pressed,4,2017-06-21 21:06:58.521667,0.256189,"b"
default,word typed,4,2017-06-21 21:06:58.521767,0.953127,"ive b"
default,key pressed,4,2017-06-21 21:06:58.618950,0.097259,"o"
default,key pressed,4,2017-06-21 21:06:58.864857,0.245879,"x"
default,key pressed,4,2017-06-21 21:06:59.089588,0.224640,"i"
default,key pressed,4,2017-06-21 21:06:59.225707,0.136087,"n"
default,key pressed,4,2017-06-21 21:06:59.657687,0.431947,"g"
default,word typed,4,2017-06-21 21:06:59.657770,1.135998,"oxing"
default,key pressed,4,2017-06-21 21:07:00.122505,0.463942," "
default,key pressed,4,2017-06-21 21:07:00.401701,0.279202,"w"
default,key pressed,4,2017-06-21 21:07:00.769613,0.367835,"i"
default,key pressed,4,2017-06-21 21:07:01.049566,0.279865,"z"
default,key pressed,4,2017-06-21 21:07:01.193817,0.144273,"a"
default,word typed,4,2017-06-21 21:07:01.193914,1.536133," wiza"
default,key pressed,4,2017-06-21 21:07:01.632997,0.439159,"r"
