timestamp (ISO),user_id,trial,target_distance,target_size,movement_time (ms),click_offset_x,click_offset_y,trys_per_trial,cursor_type,circle_color
2017-06-13T18:22:54,3,0,400,60,672,-3.4780976147858382,-4.051318110905299,1,default,green
2017-06-13T18:22:55,3,1,300,60,1063,-8.295806311938009,-0.638444044073708,1,default,green
2017-06-13T18:22:56,3,2,300,100,929,8.521902385214162,-7.051318110905299,1,default,green
2017-06-13T18:22:58,3,3,200,35,821,-0.7690060862656765,6.2960105042547525,1,default,green
2017-06-13T18:22:58,3,4,400,60,674,-17.635926367110585,19.311240468276424,1,default,green
2017-06-13T18:22:59,3,5,400,170,503,60.120404440527636,37.35144178727603,1,default,green
2017-06-13T18:23:00,3,6,300,35,820,-5.322481633373513,1.965529645457309,1,default,green
2017-06-13T18:23:01,3,7,170,100,419,11.905073696852696,8.239423292168965,1,default,green
2017-06-13T18:23:02,3,8,200,35,1026,-3.0949263031473038,-9.760576707831035,1,default,green
2017-06-13T18:23:03,3,9,200,60,768,11.252402312012691,-18.469668236351197,1,default,green
2017-06-13T18:23:05,3,10,400,170,1413,-70.94953906896347,3.8227831593583232,1,default,gray
2017-06-13T18:23:05,3,11,400,35,957,13.252402312012691,-9.469668236351197,1,default,gray
2017-06-13T18:23:06,3,12,400,170,763,-32.605982270775655,33.25848818358372,1,default,gray
2017-06-13T18:23:07,3,13,300,60,1158,0.7235713920773605,-0.39708449621127784,1,default,gray
2017-06-13T18:23:08,3,14,200,60,617,20.791897300277924,-18.529124428481055,1,default,gray
2017-06-13T18:23:09,3,15,300,35,1075,-8.056646663990023,3.2515370247368196,1,default,gray
2017-06-13T18:23:10,3,16,170,170,523,-7.284201994216289,-41.022356621974836,1,default,gray
2017-06-13T18:23:11,3,17,300,100,818,19.30465843215586,2.6784302509083204,1,default,gray
2017-06-13T18:23:12,3,18,400,60,800,0.2790383282261928,-0.22415924674180587,1,default,gray
2017-06-13T18:23:13,3,19,300,60,442,10.359458950697274,5.023910465238572,1,default,gray
2017-06-13T18:23:14,3,20,300,170,1519,35.81495200508277,-27.38543652057359,1,default,red
2017-06-13T18:23:15,3,21,170,170,539,-19.84749880027914,11.576391592569166,1,default,red
2017-06-13T18:23:16,3,22,400,60,722,-5.8322688362574695,-9.290528688275742,1,default,red
2017-06-13T18:23:16,3,23,170,170,267,-23.406265386979555,-25.701892735721117,1,default,red
2017-06-13T18:23:17,3,24,400,170,777,57.801164852747206,18.525369047141567,1,default,red
2017-06-13T18:23:18,3,25,200,35,1269,-3.0713639838529616,-0.7269701405222122,2,default,red
2017-06-13T18:23:19,3,26,300,170,423,8.546657991373422,44.42818622951404,1,default,red
2017-06-13T18:23:20,3,27,200,35,720,8.556447122600389,-3.445826727533017,1,default,red
2017-06-13T18:23:21,3,28,170,35,674,5.2651196271247045,-3.368378150234065,1,default,red
2017-06-13T18:23:21,3,29,170,60,751,-1.0226464304460023,7.723544827795479,1,default,red
2017-06-13T18:23:23,3,30,400,60,1682,-15.770672344540117,-0.2960334346585114,1,default,blue
2017-06-13T18:23:24,3,31,170,35,527,-3.032514492656219,1.357380307624851,1,default,blue
2017-06-13T18:23:25,3,32,300,35,760,-9.74378625916873,1.1152513488489149,1,default,blue
2017-06-13T18:23:26,3,33,170,60,737,-23.60238679567007,4.52936280467884,1,default,blue
2017-06-13T18:23:27,3,34,170,60,767,-10.832548040168973,20.598085017285257,1,default,blue
2017-06-13T18:23:28,3,35,200,35,526,3.3725327167187515,-1.401914982714743,1,default,blue
2017-06-13T18:23:29,3,36,300,60,869,-18.719681047508743,8.204128014985884,1,default,blue
2017-06-13T18:23:29,3,37,300,100,706,24.463070846762548,-20.32602297426382,1,default,blue
2017-06-13T18:23:30,3,38,200,35,606,-12.907409006476314,-3.908361137815689,1,default,blue
2017-06-13T18:23:31,3,39,300,60,849,15.648310773382036,8.71813161685651,1,default,blue
