timestamp (ISO),user_id,trial,target_distance,target_size,movement_time (ms),click_offset_x,click_offset_y,clicks_per_circle
2017-06-13T00:33:54,2,0,200,35,1096,-0.5665398595775457,-12.992385017989164,1
2017-06-13T00:33:54,2,1,300,60,576,3.2507082461511345,-0.5225360072388696,1
2017-06-13T00:33:55,2,2,400,60,685,0.08603191904740015,-9.26349571371668,1
2017-06-13T00:33:56,2,3,300,60,726,17.797543335868454,-5.154922502627301,1
2017-06-13T00:33:57,2,4,300,170,431,15.210417402700045,-30.33721380547513,1
2017-06-13T00:33:58,2,5,170,100,459,0.41542953184170983,-14.814118851331955,1
2017-06-13T00:33:58,2,6,170,60,382,-5.585332800729702,27.97849067952643,1
2017-06-13T00:34:00,2,7,300,35,1109,-2.3309460874272645,-14.948578415159773,2
2017-06-13T00:34:01,2,8,300,60,1095,14.47190399070871,-12.250535671670093,2
2017-06-13T00:34:02,2,9,200,60,914,-3.5964219174918526,6.881504260599684,1
2017-06-13T00:34:04,2,10,300,35,1484,-11.28540248192121,6.366820563759177,1
2017-06-13T00:34:05,2,11,200,35,684,1.2017874661139558,5.415525814934114,1
2017-06-13T00:34:05,2,12,200,170,343,-56.6722254909331,-23.57468505383889,1
2017-06-13T00:34:06,2,13,400,35,798,-11.672225490933101,9.425314946161109,1
2017-06-13T00:34:07,2,14,170,60,662,-2.4103833428169423,1.7719012038777464,1
2017-06-13T00:34:08,2,15,200,35,742,6.5896166571831145,8.771901203877746,1
2017-06-13T00:34:09,2,16,170,35,830,3.837413576177255,-2.8934784649652556,1
2017-06-13T00:34:10,2,17,400,35,854,5.818952919648439,-11.64121582702424,1
2017-06-13T00:34:10,2,18,400,170,429,1.0779932131706573,26.523460500079523,1
2017-06-13T00:34:12,2,19,170,60,928,9.79022715559995,-11.384616521890962,1
2017-06-13T00:34:13,2,20,200,100,1019,-1.044393036413112,0.5617697297949746,1
2017-06-13T00:34:14,2,21,200,60,507,16.833772367406027,0.5818703892947781,1
2017-06-13T00:34:14,2,22,170,60,353,-8.10261496695108,-1.4809232007322066,1
2017-06-13T00:34:15,2,23,300,100,545,2.185873616227923,-5.589496411821585,1
2017-06-13T00:34:17,2,24,400,35,1312,3.4499534807674763,-11.452844595420459,2
2017-06-13T00:34:17,2,25,400,100,667,24.971855865981638,22.495837293674242,1
2017-06-13T00:34:18,2,26,300,35,918,3.0795197549866202,2.7103587714644135,1
2017-06-13T00:34:19,2,27,400,35,696,2.7317622985299295,13.96828896242215,1
2017-06-13T00:34:20,2,28,400,100,589,-24.94539908976884,10.35325994040545,1
2017-06-13T00:34:21,2,29,400,35,862,10.486771509111804,-1.2995602414744383,1
2017-06-13T00:34:23,2,30,200,60,1389,6.544855464557372,-19.511366039575904,1
2017-06-13T00:34:24,2,31,400,100,562,-5.132305923741399,13.103662982440824,1
2017-06-13T00:34:24,2,32,300,100,489,3.4672020950081333,9.697552496689696,1
2017-06-13T00:34:25,2,33,300,170,537,46.16798896789129,16.28641292306179,1
2017-06-13T00:34:26,2,34,200,170,633,-22.778397283794675,29.451792731048727,1
2017-06-13T00:34:27,2,35,200,60,519,18.49450070674675,-3.9112118993609215,1
2017-06-13T00:34:28,2,36,400,100,756,-15.0286141079132,-12.958516595640702,1
2017-06-13T00:34:28,2,37,400,170,557,-19.00299400398353,-3.055927097990576,1
2017-06-13T00:34:29,2,38,400,100,744,3.9216697579613538,2.5178589181017514,1
2017-06-13T00:34:30,2,39,200,100,635,12.053964823092997,1.9157081967573504,1
