timestamp (ISO),user_id,trial,target_distance,target_size,movement_time (ms),click_offset_x,click_offset_y,trys_per_trial,cursor_type,circle_color
2017-06-13T20:13:49,4,0,400,100,677,-9.251974085905886,-15.019578262454004,1,default,blue
2017-06-13T20:13:50,4,1,200,60,509,16.801639662408206,-0.1849580704409135,1,default,blue
2017-06-13T20:13:51,4,2,300,100,643,-27.05676976511546,-8.331680894738355,1,default,blue
2017-06-13T20:13:51,4,3,170,170,913,20.38075944889715,46.544940291364526,3,default,blue
2017-06-13T20:13:52,4,4,300,35,801,7.239168876420763,-6.60178253293293,1,default,blue
2017-06-13T20:13:53,4,5,200,35,666,-5.362981844923638,4.265922401935413,1,default,blue
2017-06-13T20:13:54,4,6,200,60,678,8.01088683610584,10.775152730199807,1,default,blue
2017-06-13T20:13:55,4,7,400,35,1055,0.25455602846756165,-1.1846459508005864,1,default,blue
2017-06-13T20:13:56,4,8,200,60,745,-8.98163495102827,-10.369811208614237,1,default,blue
2017-06-13T20:13:56,4,9,300,100,597,6.421591130988304,10.328631389083284,1,default,blue
2017-06-13T20:13:58,4,10,200,100,2162,-25.99607070545983,-11.041848464155578,2,default,red
2017-06-13T20:13:59,4,11,300,170,644,-19.854480132983497,9.104874360141878,1,default,red
2017-06-13T20:14:00,4,12,400,100,684,0.6501982423440609,-31.150067966657787,1,default,red
2017-06-13T20:14:01,4,13,200,60,699,-1.542287246647561,6.68851272749157,1,default,red
2017-06-13T20:14:02,4,14,170,35,813,9.354825314652885,-1.0785081807860024,1,default,red
2017-06-13T20:14:02,4,15,170,170,375,-4.328295566052134,83.54274709556785,1,default,red
2017-06-13T20:14:03,4,16,170,60,570,-11.25084698875321,-2.1659254089564683,1,default,red
2017-06-13T20:14:03,4,17,200,100,442,-34.85117497625356,-29.436665732790573,1,default,red
2017-06-13T20:14:04,4,18,400,60,723,16.778494508119138,1.0909523082177088,1,default,red
2017-06-13T20:14:05,4,19,300,35,599,-10.516407179396651,2.755376620475772,1,default,red
2017-06-13T20:14:08,4,20,200,35,3063,4.493381951830372,3.6293895775228293,1,default,gray
2017-06-13T20:14:09,4,21,170,35,801,0.9633470234441575,0.3287609396515734,1,default,gray
2017-06-13T20:14:10,4,22,200,60,914,21.45382831090086,-9.701700029070139,2,default,gray
2017-06-13T20:14:11,4,23,400,170,465,-35.80410188005686,-73.35394257261345,1,default,gray
2017-06-13T20:14:11,4,24,170,100,543,9.339322485306809,26.393802960990968,1,default,gray
2017-06-13T20:14:12,4,25,170,60,677,-3.0888690009771835,5.6906131581257,1,default,gray
2017-06-13T20:14:13,4,26,300,100,477,-17.24740016520991,35.57489101580376,1,default,gray
2017-06-13T20:14:13,4,27,200,100,554,22.698986086475998,3.740270823790695,1,default,gray
2017-06-13T20:14:14,4,28,170,170,195,9.606003987649387,32.334129880629916,1,default,gray
2017-06-13T20:14:15,4,29,200,60,711,24.70162491399472,9.42843722709921,2,default,gray
2017-06-13T20:14:18,4,30,400,35,2770,-6.603717855685204,-11.989745829941114,1,default,green
2017-06-13T20:14:18,4,31,300,170,597,48.796774125565264,25.416364655810014,1,default,green
2017-06-13T20:14:19,4,32,170,170,587,-12.100338435735182,22.18338556408753,1,default,green
2017-06-13T20:14:19,4,33,200,170,475,-24.236260225767694,11.754193272693328,1,default,green
2017-06-13T20:14:20,4,34,200,170,399,7.763739774232306,42.959274029581024,1,default,green
2017-06-13T20:14:21,4,35,300,35,824,6.763739774232306,4.9592740295810245,1,default,green
2017-06-13T20:14:21,4,36,170,170,396,23.878553221917286,-41.02519244889133,1,default,green
2017-06-13T20:14:22,4,37,400,35,602,-10.72824452806168,-3.602585930829946,1,default,green
2017-06-13T20:14:23,4,38,200,35,701,-4.519355904266035,2.8398921318622,1,default,green
2017-06-13T20:14:24,4,39,200,60,510,4.990162808277262,-4.129646899416059,1,default,green
